SideA;SideB;SideC;Perimeter;Area;AngleA;AngleB;AngleC;
5;6;5;16;12;53;53;73;
5;10;13;28;22;20;116;43;
11;13;17;41;71;40;89;49;
9;13;18;40;55;28;108;43;
10;9;11;30;42;58;70;50;
7;11;7;25;23;38;38;103;
6;13;18;37;25;12;139;27;
7;14;16;37;48;25;93;60;
13;8;11;32;43;84;57;37;
13;6;17;36;32;40;122;17;
7;5;10;22;16;40;111;27;
9;5;13;27;16;29;134;15;
9;10;16;35;40;30;114;34;
5;9;10;24;22;29;86;63;
13;8;18;39;46;40;115;23;
7;13;14;34;45;29;83;67;
14;11;17;42;76;55;84;40;
10;11;5;26;24;65;27;87;
11;13;6;30;32;57;27;95;
11;13;16;40;70;43;83;53;
10;6;15;31;20;26;137;15;
6;7;10;23;20;36;100;43;
9;12;11;32;47;45;61;72;
13;12;14;39;72;59;67;52;
7;6;9;22;20;50;87;41;
12;12;18;42;71;41;97;41;
